date,city,state,observed_temp,forecast_temp,meaning
2022-01-02,ALBANY,NY,35,39,Rain and Snow
2022-01-02,ALBANY,NY,35,40,Rain
2022-01-02,ALBANY,NY,35,37,Sleet
2022-01-02,ALBANY,NY,35,39,Sleet
2022-01-02,ALBANY,NY,18,19,Rain
2022-01-02,ALBANY,NY,18,18,Partly Cloudy
2022-01-02,ALBANY,NY,18,18,Sleet
2022-01-02,ALBANY,NY,18,16,Mostly Cloudy
2022-01-02,BUFFALO,NY,30,30,Freezing Rain
2022-01-02,BUFFALO,NY,30,30,Snow
2022-01-02,BUFFALO,NY,30,27,Snow
2022-01-02,BUFFALO,NY,30,30,Snow
2022-01-02,BUFFALO,NY,12,16,Snow
2022-01-02,BUFFALO,NY,12,10,Mostly Cloudy
2022-01-02,BUFFALO,NY,12,13,Snow
2022-01-02,BUFFALO,NY,12,10,Sunny
2022-01-02,COLORADO_SPGS,CO,44,43,Sunny
2022-01-02,COLORADO_SPGS,CO,44,42,Sunny
2022-01-02,COLORADO_SPGS,CO,44,39,Sunny
2022-01-02,COLORADO_SPGS,CO,44,37,Sunny
2022-01-02,COLORADO_SPGS,CO,20,18,Sunny
2022-01-02,COLORADO_SPGS,CO,20,15,Sunny
2022-01-02,COLORADO_SPGS,CO,20,17,Sunny
2022-01-02,COLORADO_SPGS,CO,20,15,Sunny
2022-01-02,MEDFORD,OR,46,41,Mostly Cloudy
2022-01-02,MEDFORD,OR,46,41,Mostly Cloudy
2022-01-02,MEDFORD,OR,46,42,Mostly Cloudy
2022-01-02,MEDFORD,OR,46,42,Mostly Cloudy
2022-01-02,MEDFORD,OR,44,37,Mostly Cloudy
2022-01-02,MEDFORD,OR,44,36,Rain
2022-01-02,MEDFORD,OR,44,36,Mostly Cloudy
2022-01-02,MEDFORD,OR,44,36,Rain
2022-01-02,NEW_YORK_CITY,NY,59,56,Rain Showers
2022-01-02,NEW_YORK_CITY,NY,59,55,Rain Showers
2022-01-02,NEW_YORK_CITY,NY,59,54,Rain Showers
2022-01-02,NEW_YORK_CITY,NY,59,56,Rain Showers
2022-01-02,NEW_YORK_CITY,NY,31,28,Rain Showers
2022-01-02,NEW_YORK_CITY,NY,31,28,Partly Cloudy
2022-01-02,NEW_YORK_CITY,NY,31,28,Rain Showers
